puzzles,solutions
000600701309000000680503420004009615000002000017305080400201307060800090725000040,542698731379124856681573429234789615856412973917365284498251367163847592725936148
000401207092068000300900050089700500007050002610003004060847000500026430100000080,856431297792568341341972658289714563437659812615283974963847125578126439124395786
009007500010000070200080149050740006300015027008209400061850030900003002400060080,849127563516394278237586149152748396394615827678239451761852934985473612423961785
301042007058000009000600100092080006680700030000005700079020081503000264000013005,361942857258137649947658123792384516685791432134265798479526381513879264826413975
003006900629570000000080004200300508780020040000001706070000010090062405001700380,843216957629574831157983264216347598785629143934851726572438619398162475461795382
083004000750020360001000098092030070500600000040087150007090200800071003600240019,983164527754829361261753498192435876578612934346987152417396285829571643635248719
050010004800026710070000930602041097500003400030980052020078000018000060400095000,356719824849326715271854936682541397597263481134987652925678143718432569463195278
009000807050280600300601000004902103080043006006008250040000510000097040092350000,619435827457289631328671495574962183281543976936718254743826519865197342192354768
005043007700106003060007420090000206400820105503000000007690508000012304100700090,915243867742186953368957421891375246476829135523461789237694518689512374154738692
010400093800000460350680200090007600200010300408090750075034900600021078002005000,716452893829173465354689217591347682267518349438296751175834926643921578982765134
402003091006000830000090000307040502095007004800102300040801200050000060100635007,482563791976214835531798426317946582295387614864152379649871253753429168128635947
020035080910200000507000100800900300000487000050060200000794630003600570400023001,624135789918276453537849126841952367362487915759361248185794632293618574476523891
503008100021300076800000200030407008670900520240500000000641983000005060000730401,563278149421359876897164235135427698678913524249586317752641983314895762986732451
004007000008035002913680000400050038371040209020009600600003010000020504087100900,254917386768435192913682475496251738371846259825379641642593817139728564587164923
000900073004000016170563080800100007030000065640075900050720030200008004960030800,586914273394287516172563489825196347739842165641375928458729631213658794967431852
284060073000209000600003580500802010320050000040100720807000001005010060030074009,284561973753289146619743582576892314321457698948136725867925431495318267132674859
021509006608004070450000103002400050006017900870006040090301004007002090300800700,721539486638124579459768123912483657546217938873956241295371864187642395364895712
000070000600004038015602004090700000800160500207030060034050710702300090081090046,428973651679514238315682974196725483843169527257438169934856712762341895581297346
240015000703600050800209003000140600039000000470900082080002096000700005150006047,246315978793684251815279463528147639639528714471963582387452196964731825152896347
000007096040608300003020500097030650000062840020800007060000705500140003081009200,258317496749658321613924578897431652135762849426895137964283715572146983381579264
003060007400003600600180204000472000800000009001096405090001000102730096500040078,213564987487923651659187234965472813824315769371896425798651342142738596536249178
960500407700000032003480190250900004617030200000060708045700000000102005800006900,961523487784619532523487196258971364617834259439265718145798623396142875872356941
420100057600200030001960000807006104096850020200000000500081009004073008310690400,429138657685247931731965842857326194196854723243719586572481369964573218318692475
100020069359007001070800000060000400580240003000050210090634080003090005620500097,148325769359467821276819534962173458581246973437958216795634182813792645624581397
870150003300002000000760102007300900090000405245900068006021840510078000000409500,872154693361892754459763182687345921193286475245917368936521847514678239728439516
000380700050006001001004920062410005100009370080072000306905080070000040420000069,294381756857296431631754928762413895145869372983572614316945287579628143428137569
600500134007006058083000000060309007002048090031002400094103205075900010000020700,629587134147236958583491672468319527752648391931752486894173265275964813316825749
400700921900056300083100000800000600090060548520004090300081004001520000000309076,465738921912456387783192465834975612197263548526814793379681254641527839258349176
700180009589004030060003000600007005130960024002005000010720060800000003957800100,743182659589674231261593487698247315135968724472315896314729568826451973957836142
700000802540910670108032005000657040020000001900040380013000004007006000806093000,739564812542918673168732495381657249624389751975241386213875964497126538856493127
006900071840003096570004200002040009713000000004560000065709130000000702200058004,326985471841273596579614283652347819713892645984561327465729138198436752237158964
014700000800000035005900207006070103000001600590360000007405300003280709940000086,214753968879612435365948217426879153738521694591364872687495321153286749942137586
040029670800000034000500200930070400100080026008600301002001050610005803405807000,541329678829716534763548219936172485154983726278654391382461957617295843495837162
