hard,solutions
700002040060500900000008100307000000000701000800400005000000000096000700100803004,715392846268514937934678152357286419649751328821439675583947261496125783172863594
104605080806200000000000000000060700600007010009100200050400003000910004008000002,124695387876231495935748621512369748643827519789154236251486973367912854498573162
900401000030000000060300701200000006000007100008000450009004800000900012300200600,957481263134726985862395741245819376693547128718632459529164837486973512371258694
050108070400300000200000000010700080900000400000000000030000010000040200000050600,356128974471369825289475163512794386967832451843516792634287519795641238128953647
100640000070000000904000001000060079030070004040058300050000900000000000406290500,123649785875321496964785231512463879638972154749158362251836947397514628486297513
403000002000601000800000000000500790200030000070000000000840000090000600010000050,463957812927681345851324967386512794249736581175498236632845179594173628718269453
000000700800300001905080000200070040300040006009003050000004800608900010002050000,123496785874325961965781423216579348357842196489613257531264879648937512792158634
002005830700020000000000040001207000000000900080103400090800000600050008030700006,462975831713428569859631742541297683326584917987163425295816374674352198138749256
050400070800050301060001000200000700300000250086000000020070000030920604000100000,153486972874259361962731485215364798349817256786592143421675839537928614698143527
621000000900000040000510000000000907070009400002000650040070000000100085200360000,621948573985723146734516829456281937873659412192437658549872361367194285218365794
030060000004050007050700080000001000000000700300000465010007004005810000070000290,137268549894153627256794183762541938549386712381972465913627854425819376678435291
100000000004001090060080000003070800000005100700100000000003008005004970406850010,132749685854361792967582341513476829648925137729138564271693458385214976496857213
000062000407300000000001370009020000001006800000080032080005003600000100790000050,318762594467359281925841376839524617271936845546187932184295763653478129792613458
000007010000040500040003007003600090057900000100000800030059000206000100000200000,368527914719846532542193687823614795657982341194375826431759268276438159985261473
009000000020390000600002001010007028800000050000900060005000000000401000070008306,459816237721394685638572491513647928896123754247985163165739842382461579974258316
000000410900300000300050000048007000000000052010000000600200005070000800000030000,857692413964318527321754698548127369736489152219563784683271945172945836495836271
058000004009007050001000060007430100003500000000001020000040300070190008000705000,758619234469327851321854769297436185143582697586971423915248376672193548834765912
030002006000000001607090035010070008003508000400000000000605000000020100900030400,139752846542386971687194235216473598793518624458269317321645789864927153975831462
600302000010000050000000000702600000000000084300000000080150000000080200000000700,654312879913876452827495136742638591165729384398541627286157943471983265539264718
047080001000000000000600700600003570000005000010060000280040000090100040000020690,947582361863471952152639784624813579738295416519764823285946137396157248471328695
050600100000035000670008400200000800000003010000070050000004060009010300002000004,958642137124735698673198425237951846546283719891476253785324961469517382312869574
030600800000000705000500012600400000014900000802060000000000070000080201901000040,537612894126894735489573612653427189714958326892361457268145973345789261971236548
000706000001090520090020000000004000350000006900500008080000000603005000042000100,238756491761498523495123867817634952354289716926571348189342675673915284542867139
900080700052000800070000090609008000005496002000070000010050000400000000007140003,963584721152937846874621395639218457785496132241375968316859274428763519597142683
000000005040000070076104300085060000000000051060200000002000009000408000003700010,139872465548693172276154398785961234924387651361245987812536749697418523453729816
100000308070400000000000000203010000000000095800000000050600070000080200040000000,129576348376428519584391627293815764417263895865749132958632471731984256642157983
000000050004030800000091700090070008300500000806003040003000000540700000900000620,139687452764235891258491763495176238372548916816923547623859174541762389987314625
034002006900001000000000700040908200500000030000030008290014000000003600006000050,134782596967541382852369741643978215518426937729135468295614873471853629386297154
000230000100000700000800000000005610082000000000400000500001400030060000000000002,467239851198654723253817946349725618782196534615483297526371489834962175971548362
000000801600200000000705000000600020010000300080000000200000070030080000500040000,723469851651238794894715632375691428912874365486523917248356179137982546569147283
102050004000020580000090200000070940518000006000000000095200000070030000000069070,132758694964321587857496231623175948518943726749682315495217863276834159381569472
400000805030000000000700000020000060000080400000010000000603070500200000104000000,417369825632158947958724316825437169791586432346912758289643571573291684164875293
000060400508300000090000000001000087300050200000003040060500000000840070200006009,132967458578314962496285731651429387347158296829673145763591824915842673284736519
030000000070601900040000020200806000009000100000050000400002005000008010000010734,132594687875621943946783521251836479369247158784159362417362895593478216628915734
200000900000400070000700006905020000000000083100000000000010500036000000040800000,267538914319462875458791326985123467624957183173684259792316548836245791541879632
010000090000004000060080200003092050020800010600010400000000500000039000200051860,814326795952174386367985241173492658425863917698517432731648529586239174249751863
000020500300800010000001002610500000090000870000004000020090060000000003861000020,189326547342875916756941382617589234495632871238714695523197468974268153861453729
100007590070090000006400000000800000630000040090540302320000004000900080000104007,142387596873695421956421873214873659635219748798546312321758964467932185589164237
000000310600500000200040000039008000000000042010000000500600007080000900000050000,948276315673519428251843769439128576865397142712465893594681237186732954327954681
067200000020000000000070905000750809000040070080310000000000540300800002001003000,967235481125489367843671925614752839532948176789316254298167543356894712471523698
000020000600004800000900007000070000805010003001800009050000340402003600080000050,514728936697134825328956417269375184845619273731842569156297348472583691983461752
075006004000070090400001000500008006000009005003200000000090010000100200048000070,275986134816473592439521867521738946784619325963245781652897413397164258148352679
630200000000000085700000000091000000000800040000700600200000300000050004000019000,638275419142963785759148263491526837567831942823794651215487396986352174374619528
010030060800000000000000000063090000700800400000010500090000010200700000000500700,915438267842976351376125984563294178721853496489617523697342815254781639138569742
067304000004008007800200003600000900050800000070009040000020010040500008006400030,167354829324698157895271463631745982459862371278139546583926714742513698916487235
120000080400000002009003500000908000070020050001004200000065007000000061008300000,123456789456789132789213546235978614874621953961534278342165897597842361618397425
007500031100000040900400680000708000090140053004050000005800020080205100700000000,847526931163987245952431687531798462698142753274653819415879326389265174726314598
020400009400180000000062050000006300300940500000008010000000000802004000964000007,123457689456189273789362451241576398378941526695238714517693842832714965964825137
008090100060500020000006000030107050000000009004000300050000200070003080200700004,748392165369514728125876943932147856687235419514689372853461297476923581291758634
805000002000401000300000000060700400200050000000000060000380000090000700010000090,845697132926431857371825946569713428284956371137248569752389614493162785618574293
002400050800000200060000001010047000006050020000000706000090000008105030790030000,132479658857361294964582371213647589476958123589213746321794865648125937795836412
032000005800300000904280001000400039000600050000010000020006708000004000095000060,132749685857361924964285371216457839348692157579813246421536798683974512795128463
000000000601000900300240010050006000009780000000000087000507000200004300000003604,792651438641378952385249716857136249429785163163492587934567821276814395518923674
008000003000005800500002004600000009900078100010000030175000000000300000000090670,428716953736945821591832764647153289953278146812469537175624398269387415384591672
008005000000230000902400000060000000009040057803070010300000070000500026000008400,138765942546239781972481563764152839219843657853976214395624178481597326627318495
100306080006007000905040000203000600500020800040000000000400009000700000600010205,124356987836297451975841326213578694569124873748639512351482769492765138687913245
090005400000000010004100060000304600006012000048000005005003000800070000000000287,291765438637248519584139762952384671376512894148697325715823946829476153463951287
500008200020050900006900008001800000040000072000000003450109000019004800000006000,594368217328751964176942358731825649845693172962417583453189726619274835287536491
000010003070002005005697000709300800600100090000070200500000060008940000100000000,462815973971432685385697142729364851653128794814579236547281369238946517196753428
023000007060001000070600050006304000008000500000090200300005009009400030000000040,123549687865731492974682351216354978498276513537198264341865729689427135752913846
000850000005006010060000050030000001470900000000000026090603800080001090003000000,127854639845396217369127458532768941476912583918435726291643875684571392753289164
002000000003700000740000036000040000050000201020000690005002000000300107090106000,512963748863754912749821536671249385954638271328517694135472869486395127297186453
900040500020000010000581000080007600300004005050000097000000060032005400100002000,918243576524796318763581942281957634397614825456328197875439261632175489149862753
052400000000070100000000000000802000300000600090500000106030000000000089700000000,652481937834679152971325864467812593315794628298563471186937245523146789749258316
102004900040090000900701000004500006030000000008062100001009000400100500060000800,172384965843695271956721384214538796635917428798462153321859647489176532567243819
000501000090000800060000000401000000000070090000000030800000105000200400000360000,748591326195623847263487519421936758356874291987152634832749165679215483514368972
001000008000900200000003000000015040060000700300000000000040085720600000900000000,231576498576984213489123567892715346164832759357469821613247985725698134948351672
694000010020070900000000250000000480401000520000008003900400000060705000003080000,694852317528371946317964258736529481481637529259148673975413862862795134143286795
000005047000300000000280500003520060008000000600004050240006000000000070090000103,132965847857341296964287531413529768528673419679814352241736985385192674796458123
