harder,solutions
980700600760050040005009008600000000050086007000500300500097006090600200000100000,983741625761852943245369178674913582359286417128574369512497836497638251836125794
980700000600050900005000070400003020008600500000020004060001003010000000009800700,983716245671452938245389176456193827328647591197528364862971453714235689539864712
980700000600090700007005090400000030008900500000002004030000021006500900000001000,985716342612493758347285196451867239268934517793152684534679821126548973879321465
980760000540000000007005840700000900090008750000000032400009570000100000000000003,983764215546281397217395846724513968391628754658947132462839571835176429179452683
000000000001002003030040250000024607000050000020300040000080006040005830900030400,862573194451892763739641258593124687674958312128367945317489526246715839985236471
980760040700300008020009006800003904009800307000000080400900070005000000000010400,981765243756324198324189756872653914569841327143297685418936572695472831237518469
980760500700400000006008090800000073063000000000000600090007068000600200000010700,982761534715439826346258197859126473163874952427395681291547368574683219638912745
000000001002003000040050060000000070007080506060700804070560080080070045900000000,735826491612493758849157362428635179197284536563719824274561983381972645956348217
980700600700800590005060000800040030050200800000000006290001000070020000008600200,982754613716832594345169728867945132453216879129378456294581367671423985538697241
000000001000002003003140050005630004060020500070000060006450100050008000900000040,542396871617582493893147256285639714169724538374815962726453189451968327938271645
980760500750009000006000000800000700000400053000095600270600010008007200000020007,984761532752349186316582479865213794129476853437895621273654918698137245541928367
980700600700080000000009000600070500004600000003005000260007900000290060000060701,985742613732186495146359287619478532524613879873925146261837954457291368398564721
980700600700050098040000003670900030004002700000000000360800007000010000000007060,981723654736154298245689173678941532594362781123578946362895417857416329419237865
980700000006000500000040090700080000040900000005003200600001002050600100001000003,982715634416398527537246891729584316143962785865173249678431952354629178291857463
980700600700800000005090470500040900070000000004300065050080704000002006000000010,981724653746853192235691478562148937379265841814379265153986724497512386628437519
980700600700050098000000004600300900003090002000001000400000009067009400030400070,985742631746153298321968754614325987873694512592871346458237169167589423239416875
980700000600080000005009800400008600000300020000070001060007500004200007000010030,983761245647582319125439876479128653516394728238675491361947582894253167752816934
000000012001003040040050300000200100003500200600004070002300000080040000400000009,736498512251763948948152367894237156173586294625914873562379481389641725417825639
000000001002003000040050060000060078070040650800500000004090700090000006705006090,567489321182673945349152867453961278971248653826537419614395782298714536735826194
980760500700005080005000000470030000009600800008009700020070001000200078000006200,982763514741925386365184927476832159259617843138549762524378691693251478817496235
980760500700400900030002000800500400006070010000000000400000098070800054000000700,982761543751483926634952187819536472546278319327194865465317298173829654298645731
980700600504060000000030080600200008045000000000000900270600090009007006000001702,982714653534869271716532489693275148845196327127348965271683594359427816468951732
980700600750000080006000000400030000007600050000000200010060009009800570008900060,984751623751326984326489715462538197137692458895174236513267849649813572278945361
